ryhm	group_concat(distinct(votmesused.lemma))	group_concat(distinct(votmesused.teksti_kood))
787	elama,kodumaa	eol_315678,eol_970203
789	raamat	eol_315678,ol_2008-12-14_29
790	kes,pärusmaa,seas,sooviv	eol_315678,eol_476728,eol_970203,ert_350450
791	lühem,vähem	eol_970203
792	el,euroopa,liikmesriik,liit	eol_315678,eol_970203,ert_350450,ol_2008-12-14_29,ol_2024-03-19_32
793	koolikaaslane,lähedane,tuttav	eol_315678,ert_350450
794	morr	eol_970203
795	piir	eol_315678
796	aasta,kord,lennus,päev	eol_315678,eol_476728,eol_970203,ert_315541,ert_350450,ol_2009-05-15_96,ol_2024-03-19_32
800	kamp	eol_315678
801	tava	eol_970203
803	kitt	eol_970203
806	jurist	eol_970203
807	päevitamine	eol_315678
808	dollar,euro,mark	eol_315678,eol_970203,ert_350450,ol_2009-05-15_96
809	kelgukoer,multifilm	eol_315678,ol_2024-03-19_32
810	hiiumaa	ert_315541
813	oü	eol_472648
814	soe	eol_315678
815	lemmik,publik	eol_315678,ert_315541
816	info	eol_315678
817	poolsaar	ert_315541
818	e-sigaret,e-sigarett,kuumutatav,nikotiin,sigaret,tarvitaja,tarvitama,tavasigaret,tubakas,tubakatoode	eol_970203
819	keel	eol_315678,eol_476728,eol_970203
820	pilet	eol_315678
823	katus,lagi,paneel,sein	eol_315678,eol_472648
824	aga,täitsa,tõeliselt	eol_315678,eol_476728,eol_970203,ert_315541,ert_350450,ol_2009-05-15_96
827	mudel,seadeldis,tehnika	eol_315678,eol_970203
828	segama,vähk	eol_970203
829	lammutamine,rajama,valmima	eol_472648,eol_970203
830	kuu,nädal	eol_315678,eol_472648,eol_970203
833	lisand,lisatav,tervislik	eol_970203
834	rästik	ert_315541
835	hästi,ilusasti	eol_315678,eol_970203,ert_315541
837	sprinter	ol_2009-05-15_96
838	isa,lapselaps	ert_315541,ol_2024-03-19_32
839	ameeriklane,eestlane,eurooplane	eol_315678
842	briti,inglismaa,kanada,malta,šoti,ungari	eol_315678,eol_970203,ert_315541,ol_2009-05-15_96
843	ehmatus,elamus,meeleolu,rõõm,vaikus	eol_315678,eol_970203,ert_315541
844	laiem,põhjalikum,teistsugune,tõsisem	eol_315678,eol_970203,ert_350450
846	kohta	eol_970203,ert_315541
850	müük,muutma,nišitoode,ostetud	eol_315678,eol_970203,ert_350450
852	esiots,pidur	eol_315678,eol_970203
853	janek,raul,tarvo	eol_315678,eol_970203,ert_350450
854	esmalt,kohe,lõpuks,millal,otse,riburadapidi,sealt,seejärel,tagasitee,ükshaaval,uuesti,vahepeal	eol_315678,eol_970203,ert_315541,ert_350450
855	mamma,samm,välja	eol_315678,eol_476728,eol_970203,ert_315541,ert_350450
857	plaan,tähtaeg,tärmin,visioon	eol_315678,eol_970203
858	viru	ol_2008-12-14_29
862	kutsuja,tänama	eol_315678
863	foto,juuresolevalt,pilt,slaid,video	eol_315678,eol_970203,ert_315541,ol_2008-12-14_29
865	kuni,ligi,maksimaalselt,ringis,umbes,vähemalt	eol_315678,eol_970203,ert_350450,ol_2009-05-15_96
867	assotsiatsioon	eol_315678
868	selline	eol_315678,eol_970203,ert_350450
869	mõõde,naine,nüüd,paik,saal,üks	eol_315678,eol_472648,eol_476728,eol_970203,ert_315541,ert_350450,ol_2008-12-14_29
870	mõju,paiskamine,tervisemõju	eol_970203,ert_350450
872	11aastane,kaheaastane	eol_970203,ert_315541
873	mängulisus,uudsus	eol_315678
875	elanikkond,rahvas	eol_315678,eol_476728,eol_970203,ol_2008-12-14_29
877	koroona,pandeemia	ert_350450
878	avaldama,esindama,esinema,juhatama,kiitma,kirjutama,kohtuma,külastama,liituma,mängima,osalema,sündima,tunnustama,tutvustama	eol_1608688177,eol_315678,eol_472648,eol_970203,ert_315541,ert_350450,ol_2008-12-14_29,ol_2024-03-19_32
879	ajalugu	ol_2009-05-15_96
881	johnson,washington	eol_1608688177,ol_2009-05-15_96
883	keeleoskus,oskus	eol_315678,eol_476728
884	hiina,saareriik,tai,täis,taiwan,usa	eol_1608688177,eol_315678,eol_970203
885	hind,hindu	eol_472648,ert_350450
886	hindama,kohanema,kujundama,kujutama,põimima,reageerima,rikastama,sulandama,ümbritsema,vaatlema	eol_1608688177,eol_315678,eol_970203,ert_315541,ert_350450
887	leht,väljaanne	eol_315678,eol_970203
888	näitleja,näitlema,telelavastus	eol_315678,ol_2024-03-19_32
889	soklikorrus	eol_315678
890	juhatus,riigikogu,sotsiaalkomisjon	eol_315678,eol_970203
891	see	eol_1608688177,eol_315678,eol_472648,eol_476728,eol_970203,ert_315541,ert_350450,ol_2009-05-15_96
894	kuulutama,tooma,tulema	eol_315678,eol_476728,eol_970203,ert_315541,ert_350450,ol_2008-12-14_29
895	von	eol_315678
896	terviseamet	eol_970203
897	kaldu	eol_970203
900	abi	eol_970203
901	kuld	ol_2009-05-15_96
902	ära,kool,mool,muu,sööt,tahtma	eol_315678,eol_476728,eol_970203,ert_315541,ert_350450,ol_2024-03-19_32
904	arvamuslugu,err,postimees	eol_472648,eol_476728,eol_970203
906	loksuma	ert_350450
909	mõte	eol_315678,ert_350450
910	ebaseaduslik	eol_472648
911	kõrvalkrunt	eol_315678
913	aktsiis	eol_970203
914	justiitsministeerium,kommunikatsiooniministeerium,ministeerium,minister,sotsiaalministeerium,tööminister	eol_970203
915	söögilaud	ert_315541
916	pärn	eol_315678
917	hetk	eol_315678
920	diplomaat	ol_2008-12-14_29
921	pealtnäha	eol_970203
923	george,michael,philip	eol_970203,ol_2009-05-15_96
924	joogitops,klaas,suitsupakk,tund	eol_315678,eol_970203,ert_315541,ol_2024-03-19_32
925	lollus,lõpparv,sott,trikk	eol_315678,eol_472648,eol_970203
926	amet,ametikoht,koondamine,tööjõud,töötaja	eol_476728
927	eelarvenõukogu,komisjon	eol_970203,ert_350450
928	nädal	eol_315678,eol_472648,eol_970203
929	lärm,väljuma	eol_970203
930	jne,kahjustav,kaudu,puhul,seotud,soodustav,st,tulenev,võimaldama	eol_315678,eol_472648,eol_476728,eol_970203,ert_350450
931	alev,nišš	eol_970203,ol_2024-03-19_32
932	inglise	eol_315678
935	sein,toimetaja	eol_472648,ol_2008-12-14_29
936	nimi	eol_315678,eol_970203,ert_315541
937	jaa,kui,las,no,okei,toim	eol_315678,eol_472648,eol_476728,eol_970203,ert_315541,ert_350450
940	kiri,päring,teavitus	eol_472648,eol_970203
941	erikohtlemine,eriõigus,volitus	eol_970203
942	korraga,meeter,tükk	eol_315678,eol_970203,ol_2008-12-14_29,ol_2009-05-15_96
943	elu,lapsepõlv	eol_315678,ert_315541
944	asetäitja,planeerimisosakond	eol_1608688177,eol_472648
945	alla,ära,asemel,eemale,ette,juurde,kaasa,kokku,koomale,kõrvale,kuhu,kuhugi,külge,mööda,peale,poole,sinna,sisse,tagasi,üle,üles,ümber,vaateväli,välja	eol_1608688177,eol_315678,eol_476728,eol_970203,ert_315541,ert_350450,ol_2008-12-14_29,ol_2009-05-15_96
948	karl	eol_315678
950	võima	eol_315678,eol_970203,ert_315541,ert_350450
953	aav,baskin,milling,üksküla	eol_315678,eol_970203,ol_2024-03-19_32
954	eelmine,esimene,iga,järgmine,juba,terve,varem,viimane	eol_315678,eol_472648,eol_476728,eol_970203,ert_315541,ert_350450,ol_2009-05-15_96,ol_2024-03-19_32
955	ääres,all,asuma,ees,juures,kaasas,kaugusel,kõrval,kuskil,mujal,peal,seal,sees,vahel,väljaspool	eol_1608688177,eol_315678,eol_970203,ert_315541
958	ajal,algama,alustama,eelnev,enne,järgnema,jätkuma,kulgema,läbima,lõpetama,lõppema,mööduma,ootama,pärast,toimuma,töötama	eol_1608688177,eol_315678,eol_472648,eol_970203,ert_315541,ert_350450,ol_2009-05-15_96,ol_2024-03-19_32
961	lugemine	eol_970203
964	suurendama,suurenemine,tõstma,vahendama	eol_1608688177,eol_970203,ert_350450
965	korjama,kutsuma,otsima	eol_315678,eol_476728,eol_970203,ert_315541
966	kaup,kodumaine	eol_970203,ert_350450
970	aga,ainult,alati,ehkki,ei,eks,ent,et,ikka,ikkagi,ilmselt,jah,jällegi,ju,just,kahjuks,keegi,kindlasti,kippuma,kõik,kui,kuid,kuigi,küll,kuna,lihtsalt,miks,milleks,mina,mis,miski,mistõttu,mõistagi,mõte,muidugi,nagu,noh,nüüd,olema,ometigi,paraku,pealegi,pidama,pigem,praegu,samas,see,seega,seejuures,seepärast,seetõttu,sest,siin,siis,siiski,sina,täiesti,tegelikkus,tegelikult,tema,tõenäoliselt,tõesti,ühtepidi,üldse,vaid,vastupidi,veel,võima	eol_1608688177,eol_315678,eol_472648,eol_476728,eol_970203,ert_315541,ert_350450,ol_2008-12-14_29,ol_2009-05-15_96,ol_2024-03-19_32
973	inflatsiooninumber	ert_350450
974	koht,paik	eol_315678,eol_970203,ert_315541,ert_350450
976	kasutama,surema,vallutama,võitlema	eol_315678,eol_970203,ol_2024-03-19_32
978	asi,jutt	eol_315678,eol_472648,eol_970203,ert_350450
980	kategooria	eol_970203
981	aitama,edendama,esindamine,kaasama,tegelema,toetama,toetamine	eol_1608688177,eol_315678,eol_472648,eol_970203
983	agar,aktiivne,haritud,osav,tubli	eol_315678,eol_970203
984	kaks,kolm,kümme,kuus,neli,pool,sada,üheksa,veerand,viis	eol_315678,eol_476728,eol_970203,ert_315541,ert_350450,ol_2008-12-14_29,ol_2009-05-15_96
986	aru,arvama,eeldama,kinnitama,kinnitus,leidma,lisama,loetlema,lootma,näitama,nõustuma,põhjendama,rääkima,rõhutama,selgitama,sõnama,sõnutsi,täheldama,teadma,teatama,teavitama,tunduma,uskuma,ütlema,väitma,vastama,veenduma,viitama	eol_1608688177,eol_315678,eol_472648,eol_476728,eol_970203,ert_315541,ert_350450,ol_2008-12-14_29,ol_2024-03-19_32
988	rästas	ol_2024-03-19_32
991	lunge	eol_315678
992	väljalülitumine	ert_315541
993	kodu,mada,sääst	eol_315678,ert_350450,ol_2024-03-19_32
994	nipp,soovitus	eol_970203
995	poliitika	eol_1608688177,eol_970203
996	omavoli	eol_970203
999	trump	eol_315678
